Identificador de la publicación,Identificador de la página,Nombre de la página,Título,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Comentarios,Distribución,Impresiones,Interacciones,Seguimientos netos,Reacciones,Veces que se guardó,Veces que se compartió,Espectadores,Visualizaciones,Segundos en promedio reproducidos,Segundos reproducidos
1334690668695536,100064638461970,Supersubsidio,"🇨🇴 En este 2026 seguiremos trabajando de forma articulada con enfoque técnico, transparencia y vocación de servicio, en beneficio de las familias colombianas.

#Supersubsidio #SupervisarEsCuidar #FelizAño #2026",0,01/01/2026 12:49,https://www.facebook.com/SuperSubsidio/posts/pfbid0dTMjAPtY3uwAGetnaog7na1DWmZQNdVviGNZsFxg5HHExhWs2VTpZBKdP5yBiB73l,Foto,,Total,0,--,646,4,0,5,0,0,551,899,,
1334724578692145,100064638461970,Supersubsidio,"📝 Inicia un nuevo año y desde la Superintendencia del Subsidio Familiar seguiremos trabajando con transparencia y diligencia para garantizar que los recursos del sistema del subsidio familiar lleguen de forma eficiente a través de las Cajas de Compensación a las familias colombianas y se traduzcan en oportunidades y bienestar real.

#Supersibsidio #SupervisarEsCuidar #NuevoAño",0,01/01/2026 14:16,https://www.facebook.com/SuperSubsidio/posts/pfbid02Kd2ZiUFnC3fxNCZQYq3mzJ5YL7NpDFFN2UEFrmmDQnbdKgW4Muj2kjVM2N2bcUjvl,Foto,,Total,2,--,960,14,0,11,0,1,875,1394,,
1335240118640591,100064638461970,Supersubsidio,"🇨🇴 El salario mínimo para 2026 en colombia ha sido decretado por el presidente de la república en $1.750.905 pesos, y en este video te explicamos cómo quedaron actualizados los montos máximos para subsidio de vivienda.

#SubsidioDeVivienda #Subsidio #SalarioMínimo #Supersubsidio #SupervisarEsCuidar",122,01/02/2026 07:36,https://www.facebook.com/reel/837656975381176/,Reel,,Total,926,+2890.5x,1577940,43854,21708,31919,7405,6093,1424916,1665079,24.095,36352459.487
1338191065012163,100064638461970,Supersubsidio,"El pueblo colombiano se une y se moviliza para defender la soberanía nacional y la democracia del país. 🇨🇴

Este miércoles, a las 4:00 p. m., nos unimos en las plazas de toda Colombia por la dignidad de nuestro país.

Saca tu bandera tricolor y alza la voz por una Colombia libre.

¡Te esperamos! #ColombiaSoberana",28,01/06/2026 07:11,https://www.facebook.com/reel/1469332901280924/,Reel,,Total,2,+2x,2482,40,1,26,0,15,2157,2590,6.613,14874.343
1338916538272949,100064638461970,Supersubsidio,"Este miércoles a las 4:00 p. m., el pueblo colombiano se encuentra en las plazas de todo el país. Trae tu bandera tricolor y camina por la dignidad de Colombia. 🇨🇴

La soberanía no se negocia, la democracia se cuida y Colombia se defiende en las calles.

El poder es del pueblo. #ColombiaSoberana",0,01/07/2026 05:14,https://www.facebook.com/SuperSubsidio/posts/pfbid0s1fsMbyrJyagBkigdiW3L6YSPwqfEpQ8bPLdyJwtEhfMsSoTwUEAUNJuTVKVQK1fl,Foto,,Total,5,--,760,14,0,9,0,1,675,1092,,
1339215938243009,100064638461970,Supersubsidio,"🇨🇴 Desde la Superintendencia del Subsidio Familiar acompañamos las expresiones ciudadanas que promueven el diálogo, la participación democrática y la defensa de una Colombia soberana, con justicia social y bienestar para las familias.

Seguimos trabajando por un país más equitativo, solidario y con oportunidades para todos.
#ColombiaSoberana",0,01/07/2026 13:25,https://www.facebook.com/SuperSubsidio/posts/pfbid02cXQc2HnoqqxHdLqhiRiH7gqzV1n7xWkGyDEL7tgYX49WqENGipJeogeWER7PA7Lfl,Foto,,Total,13,--,4413,49,0,40,0,0,4190,6458,,
1339238481574088,100064638461970,Supersubsidio,"🇨🇴 Hoy hacemos presencia desde la Plaza de Bolívar, convencidos de que una Colombia soberana se construye con la voz de la gente, el respeto por lo público y el compromiso con las familias.
Desde la Superintendencia del Subsidio Familiar, acompañamos y respaldamos este sentir ciudadano.
#ColombiaSoberana",0,01/07/2026 14:14,https://www.facebook.com/SuperSubsidio/posts/pfbid0ktJRi85DPzwYKSikHo1uhLWQ1TmtScUFPuaTKbB4kcqva3c1sHbTpVPsC6mn6PDil,Foto,,Total,2,--,1991,32,0,29,0,1,1845,3160,,
1339262461571690,100064638461970,Supersubsidio,"🇨🇴 Así vive Colombia libre y soberana: con dignidad, participación y compromiso colectivo.
Desde la Superintendencia del Subsidio Familiar trabajamos cada día con dignidad por las familias colombianas, convencidos de que una Colombia soberana se construye garantizando derechos, bienestar y justicia social.
#ColombiaSoberana",0,01/07/2026 15:06,https://www.facebook.com/SuperSubsidio/posts/pfbid0RxdVhsbLWrH3zehpQaCo5KMiSDZDcy2j4a6vZvJQbYcKsHhTQ422su3F28yUk88Jl,Foto,,Total,1,--,1546,40,-2,45,1,1,1382,2605,,
1339785321519404,100064638461970,Supersubsidio,"#TBT 🇨🇴 Con estas palabras, nuestra Superintendente del Subsidio Familiar, Sandra Viviana Cadena Martínez, dio inicio al evento de Rendición de Cuentas 2025 para contarle al país cómo se está transformando el Sistema del Subsidio Familiar para hacerlo más humano, transparente, eficiente y cercano.

Hoy le hablamos a Colombia no desde un escritorio, sino desde los territorios. Estamos donde la gente nos necesita.

#Supersubsidio #SupervisarEsCuidar #SubsidioFamiliar",170,01/08/2026 07:11,https://www.facebook.com/reel/913523021603489/,Reel,,Total,8,+4.3x,3940,86,12,100,1,7,3606,4039,11.842,44621.775
1343076551190281,100064638461970,Supersubsidio,"¿Sabes qué hace la Superintendencia del Subsidio Familiar? 🤔

Nos aseguramos de que las Cajas de Compensación administren correctamente los recursos para el bienestar de los trabajadores y sus familias 🏡👨‍👩‍👧‍👦

📌 Supervisamos que los subsidios lleguen a quienes los necesitan.
📌 Protegemos tus derechos como afiliado.
📌 Promovemos la transparencia y el buen uso de los recursos.

¡Trabajamos para que el subsidio familiar cumpla su propósito! ✅

#SubsidioFamiliar #Supersubsidio #CajasDeCompensación #SupervisarEsCuidar",0,01/12/2026 14:04,https://www.facebook.com/SuperSubsidio/posts/pfbid0eB5PPpCSgpCw91J8HLcMQWn9Dyc8qSJLz5wRkupDG8ydAr63nmDmJAAdXgjBezeYl,Foto,,Total,5,--,3273,11,1,26,0,2,3239,4600,,
