"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"6 de agosto","🇨🇴 El salario mínimo para 2026 en colombia ha sido decretado por el presidente de la república en $1.750.905 pesos, y en este video te explicamos cómo quedaron actualizados los montos máximos para subsidio de vivienda. #SubsidioDeVivienda #Subsidio #SalarioMínimo #Supersubsidio","https://www.tiktok.com/@supersubsidio/video/7590789017118067986","2 de enero","45113","637","26868","1476724"
"6 de agosto","📢 ¡Atención trabajadores y trabajadoras de Colombia! Ya están definidas las nuevas cuotas monetarias del subsidio familiar para 2026.  👉 Consulta los valores correspondientes a tu departamento y acércate a tu Caja de Compensación Familiar para conocer cómo acceder a este beneficio. #SubsidioFamiliar #CuotaMonetaria #Supersubsidio #SupervisarEsCuidar #Subsidios ","https://www.tiktok.com/@supersubsidio/video/7601918286141361415","1 de febrero","19698","877","7005","1245721"
"6 de agosto","🏠 Si quieres acceder al subsidio familiar para construcción o mejoramiento de vivienda que otorgan las cajas de compensación, presta mucha atención a todo lo que necesitas saber. 📝 Para más información sobre el proceso de aplicación a este subsidio, consulta con tu caja de compensación familiar. #SubsidioDeVivienda #SubsidioFamiliar #Supersubsidio #Subsidios ","https://www.tiktok.com/@supersubsidio/video/7636427653427334408","5 de mayo","18403","433","15983","1162612"
"6 de agosto","🏠 Si quieres acceder al subsidio de vivienda que otorgan las Cajas de Compensación familiar en este 2026, presta mucha atención a los requisitos que debes cumplir. 📝 Si cumples con los requisitos mencionados, acércate a tu caja de compensación familiar para solicitar información sobre el proceso de aplicación y presta mucha atención a las instrucciones para aplicar de forma correcta. #SubsidioDeVivienda #SubsidioFamiliar #Subsidios #Supersubsidio #SubsidioVivienda","https://www.tiktok.com/@supersubsidio/video/7641638131124473095","19 de mayo","7459","96","5894","498663"
"6 de agosto","🏠 Si quieres acceder al subsidio de vivienda que otorgan las Cajas de Compensación familiar, presta mucha atención a los requisitos que debes cumplir. 📝 Si cumples con los requisitos mencionados, acércate a tu caja de compensación familiar para solicitar información sobre el proceso de aplicación y presta mucha atención a las instrucciones para aplicar de forma correcta. #SubsidioDeVivienda #SubsidioFamiliar #Subsidios #Supersubsidio #SubsidioVivienda","https://www.tiktok.com/@supersubsidio/video/7631242542620740882","21 de abril","4439","70","2770","209027"
"6 de agosto","📝 Estas son las personas a cargo por las que puedes recibir el subsidio familiar en dinero este 2026. 💻 Para más información, acércate a tu Caja de Compensación Familiar y consulta sobre el proceso y los requisitos para acceder a este derecho. #SubsidioFamiliar #Subsidios #CuotaMonetaria #Supersubsidio #SupervisarEsCuidar","https://www.tiktok.com/@supersubsidio/video/7629069901512084754","15 de abril","1755","68","499","111413"
"6 de agosto","🇨🇴 El precio de la vivienda en Colombia debe ser expresado en pesos colombianos y no en salarios mínimos. Así lo establece la circular 04 de 2024 de la Superintendencia de Industria y comercio.   📝 Conocer tus derechos te permite tomar mejores decisiones y hacer valer tus derechos. ¡Con dignidad cumplimos! #SubsidioDeVivienda #ViviendaEnColombia #Supersubsidio ","https://www.tiktok.com/@supersubsidio/video/7597541375114104082","20 de enero","4523","142","2009","93846"
"6 de agosto","🏠 Si quieres acceder al subsidio familiar para construcción o mejoramiento de vivienda que otorgan las cajas de compensación, presta mucha atención a todo lo que necesitas saber. 📝 Para más información sobre el proceso de aplicación a este subsidio, consulta con tu caja de compensación familiar. #SubsidioDeVivienda #SubsidioFamiliar #Supersubsidio #Subsidios","https://www.tiktok.com/@supersubsidio/video/7655352364165090568","25 de junio","1010","14","1018","79797"
"6 de agosto","🏠 REQUISITOS PARA ACCEDER AL SUBSIDIO DE VIVIENDA FAMILIAR EN EL 2026. 💵 Si quieres acceder al subsidio de vivienda que otorgan las Cajas de Compensación familiar en este 2026, presta mucha atención a los requisitos que debes cumplir: 1. Estar afiliado a una Caja de Compensación (como trabajador dependiente o independiente) y cumplir sus requisitos específicos de aplicación. 2. Los ingresos totales del hogar no pueden superar 4 SMMLV, contando a todos los miembros del grupo familiar. 3. El subsidio aplica para compra, construcción o mejoramiento. Para compra, no puedes ser propietario de otro inmueble. Para construcción o mejoramiento, un miembro del grupo familiar debe ser propietario. 4. No haber sido beneficiario del subsidio anteriormente, salvo excepciones establecidas por ley. 5. Identifica proyectos con registro VIS o VIP vigente. El precio de VIS no puede superar 135 SMMLV (o 150 SMMLV en ciudades con más de 1 millón de habitantes). El tope para VIP es 90 SMMLV. Estos valores deben ser los proyectados a la fecha de escrituración. Al separar el inmueble, el constructor entregará una promesa de compraventa o encargo fiduciario, documento exigido por muchas Cajas. 6. Demuestra cómo cubrirás el saldo restante: con ahorro programado o pre-aprobación de crédito bancario. 7. Reúne la documentación que exija tu Caja: ✅ Formulario de postulación diligenciado y firmado. ✅ Fotocopia de documentos de identidad de todo el grupo familiar. ✅ Certificación laboral vigente (máx. 60 días) de los integrantes que trabajen. ✅ Certificación de ingresos para independientes o pensionados. ✅ Pre-aprobación o aprobación de crédito hipotecario o leasing habitacional. ✅ Certificación de ahorro y cesantías, si aplica. ✅ Certificado médico en caso de discapacidad. Si cumples con los requisitos mencionados, acércate a tu caja de compensación familiar para solicitar información sobre el proceso de aplicación y presta mucha atención a las instrucciones para aplicar de forma correcta. #SubsidioDeVivienda #SubsidioFamiliar #Subsidios #Supersubsidio #SubsidioVivienda","https://www.tiktok.com/@supersubsidio/video/7650162491837795592","11 de junio","849","41","475","76180"
"6 de agosto","El gobierno nacional a través de la Superintendencia del Subsidio Familiar anunció $50.000 millones para subsidios de vivienda rural y urbana para 2026. Este compromiso fortalece la vivienda digna en todo el país. #ConDignidadCumplimos #SupervisarEsCuidar                                    ☝️🎥 Mira la nota completa@Gustavo Petro ","https://www.tiktok.com/@supersubsidio/video/7569350345147567367","5 de noviembre","1484","86","1321","69024"
