"Date","Hour","Active followers"
"30 de julio","0","3680"
"30 de julio","1","1918"
"30 de julio","2","1281"
"30 de julio","3","1257"
"30 de julio","4","2190"
"30 de julio","5","4678"
"30 de julio","6","7216"
"30 de julio","7","9158"
"30 de julio","8","8500"
"30 de julio","9","8284"
"30 de julio","10","8115"
"30 de julio","11","8292"
"30 de julio","12","9678"
"30 de julio","13","10514"
"30 de julio","14","9301"
"30 de julio","15","8774"
"30 de julio","16","9114"
"30 de julio","17","9814"
"30 de julio","18","10520"
"30 de julio","19","11433"
"30 de julio","20","11851"
"30 de julio","21","12278"
"30 de julio","22","10515"
"30 de julio","23","7033"
"31 de julio","0","3739"
"31 de julio","1","1954"
"31 de julio","2","1341"
"31 de julio","3","1278"
"31 de julio","4","2281"
"31 de julio","5","4573"
"31 de julio","6","6977"
"31 de julio","7","9031"
"31 de julio","8","8519"
"31 de julio","9","8397"
"31 de julio","10","8141"
"31 de julio","11","8226"
"31 de julio","12","9429"
"31 de julio","13","10247"
"31 de julio","14","9254"
"31 de julio","15","8745"
"31 de julio","16","8952"
"31 de julio","17","9333"
"31 de julio","18","10038"
"31 de julio","19","10879"
"31 de julio","20","11283"
"31 de julio","21","11793"
"31 de julio","22","10369"
"31 de julio","23","7567"
"1 de agosto","0","4469"
"1 de agosto","1","2521"
"1 de agosto","2","1691"
"1 de agosto","3","1454"
"1 de agosto","4","1960"
"1 de agosto","5","3394"
"1 de agosto","6","5780"
"1 de agosto","7","8522"
"1 de agosto","8","8874"
"1 de agosto","9","9162"
"1 de agosto","10","8973"
"1 de agosto","11","9078"
"1 de agosto","12","9350"
"1 de agosto","13","9752"
"1 de agosto","14","9645"
"1 de agosto","15","9536"
"1 de agosto","16","9502"
"1 de agosto","17","9330"
"1 de agosto","18","9614"
"1 de agosto","19","10477"
"1 de agosto","20","10743"
"1 de agosto","21","10896"
"1 de agosto","22","9843"
"1 de agosto","23","7591"
"2 de agosto","0","4829"
"2 de agosto","1","2810"
"2 de agosto","2","1912"
"2 de agosto","3","1533"
"2 de agosto","4","1577"
"2 de agosto","5","2341"
"2 de agosto","6","4098"
"2 de agosto","7","7258"
"2 de agosto","8","8475"
"2 de agosto","9","9445"
"2 de agosto","10","9490"
"2 de agosto","11","9622"
"2 de agosto","12","9571"
"2 de agosto","13","9746"
"2 de agosto","14","9846"
"2 de agosto","15","9707"
"2 de agosto","16","9714"
"2 de agosto","17","9937"
"2 de agosto","18","10195"
"2 de agosto","19","10950"
"2 de agosto","20","11760"
"2 de agosto","21","11853"
"2 de agosto","22","9992"
"2 de agosto","23","6701"
"3 de agosto","0","3725"
"3 de agosto","1","1998"
"3 de agosto","2","1313"
"3 de agosto","3","1232"
"3 de agosto","4","2088"
"3 de agosto","5","4228"
"3 de agosto","6","6523"
"3 de agosto","7","8531"
"3 de agosto","8","8017"
"3 de agosto","9","8182"
"3 de agosto","10","8130"
"3 de agosto","11","8298"
"3 de agosto","12","9618"
"3 de agosto","13","10514"
"3 de agosto","14","9401"
"3 de agosto","15","8950"
"3 de agosto","16","9180"
"3 de agosto","17","9622"
"3 de agosto","18","10582"
"3 de agosto","19","11489"
"3 de agosto","20","12114"
"3 de agosto","21","12318"
"3 de agosto","22","10418"
"3 de agosto","23","6657"
"4 de agosto","0","3511"
"4 de agosto","1","1827"
"4 de agosto","2","1258"
"4 de agosto","3","1220"
"4 de agosto","4","2204"
"4 de agosto","5","4602"
"4 de agosto","6","7118"
"4 de agosto","7","9065"
"4 de agosto","8","8413"
"4 de agosto","9","8338"
"4 de agosto","10","8137"
"4 de agosto","11","8321"
"4 de agosto","12","9797"
"4 de agosto","13","10714"
"4 de agosto","14","9380"
"4 de agosto","15","8902"
"4 de agosto","16","8952"
"4 de agosto","17","9652"
"4 de agosto","18","10499"
"4 de agosto","19","11596"
"4 de agosto","20","12219"
"4 de agosto","21","12465"
"4 de agosto","22","10598"
"4 de agosto","23","6824"
"5 de agosto","0","3646"
"5 de agosto","1","1956"
"5 de agosto","2","1301"
"5 de agosto","3","1296"
"5 de agosto","4","2230"
"5 de agosto","5","4654"
"5 de agosto","6","7065"
"5 de agosto","7","8944"
"5 de agosto","8","8370"
"5 de agosto","9","8296"
"5 de agosto","10","8024"
"5 de agosto","11","8296"
"5 de agosto","12","9815"
"5 de agosto","13","10595"
"5 de agosto","14","9526"
"5 de agosto","15","8885"
"5 de agosto","16","9014"
"5 de agosto","17","9658"
"5 de agosto","18","10551"
"5 de agosto","19","0"
"5 de agosto","20","0"
"5 de agosto","21","0"
"5 de agosto","22","0"
"5 de agosto","23","0"
