"Date","Followers","Difference in followers from previous day"
"1 de enero","1130","3"
"2 de enero","2144","1014"
"3 de enero","9028","6884"
"4 de enero","12233","3205"
"5 de enero","15026","2793"
"6 de enero","15849","823"
"7 de enero","16473","624"
"8 de enero","16877","404"
"9 de enero","17125","248"
"10 de enero","17269","144"
"11 de enero","17425","156"
"12 de enero","17548","123"
"13 de enero","17621","73"
"14 de enero","17685","64"
"15 de enero","17734","49"
"16 de enero","17776","42"
"17 de enero","17801","25"
"18 de enero","17825","24"
"19 de enero","17859","34"
"20 de enero","17876","17"
"21 de enero","18406","530"
"22 de enero","18599","193"
"23 de enero","18696","97"
"24 de enero","18737","41"
"25 de enero","18778","41"
"26 de enero","18853","75"
"27 de enero","18908","55"
"28 de enero","18930","22"
"29 de enero","18939","9"
"30 de enero","18968","29"
"31 de enero","18999","31"
"1 de febrero","19423","424"
"2 de febrero","23388","3965"
"3 de febrero","24264","876"
"4 de febrero","24681","417"
"5 de febrero","24820","139"
"6 de febrero","24936","116"
"7 de febrero","24993","57"
"8 de febrero","25048","55"
"9 de febrero","25098","50"
"10 de febrero","25146","48"
"11 de febrero","25211","65"
"12 de febrero","25327","116"
"13 de febrero","25406","79"
"14 de febrero","25435","29"
"15 de febrero","25466","31"
"16 de febrero","25538","72"
"17 de febrero","25586","48"
"18 de febrero","25637","51"
"19 de febrero","25665","28"
"20 de febrero","25706","41"
"21 de febrero","25729","23"
"22 de febrero","25737","8"
"23 de febrero","25778","41"
"24 de febrero","25810","32"
"25 de febrero","25845","35"
"26 de febrero","25875","30"
"27 de febrero","25895","20"
"28 de febrero","25908","13"
"1 de marzo","25916","8"
"2 de marzo","25938","22"
"3 de marzo","25950","12"
"4 de marzo","25962","12"
"5 de marzo","25973","11"
"6 de marzo","25982","9"
"7 de marzo","25988","6"
"8 de marzo","25990","2"
"9 de marzo","26007","17"
"10 de marzo","26025","18"
"11 de marzo","26037","12"
"12 de marzo","26054","17"
"13 de marzo","26059","5"
"14 de marzo","26067","8"
"15 de marzo","26068","1"
"16 de marzo","26077","9"
"17 de marzo","26091","14"
"18 de marzo","26106","15"
"19 de marzo","26119","13"
"20 de marzo","26124","5"
"21 de marzo","26125","1"
"22 de marzo","26117","-8"
"23 de marzo","26116","-1"
"24 de marzo","26114","-2"
"25 de marzo","26118","4"
"26 de marzo","26123","5"
"27 de marzo","26120","-3"
"28 de marzo","26128","8"
"29 de marzo","26132","4"
"30 de marzo","26129","-3"
"31 de marzo","26129","0"
"1 de abril","26130","1"
"2 de abril","26123","-7"
"3 de abril","26117","-6"
"4 de abril","26116","-1"
"5 de abril","26111","-5"
"6 de abril","26108","-3"
"7 de abril","26103","-5"
"8 de abril","26110","7"
"9 de abril","26109","-1"
"10 de abril","26106","-3"
"11 de abril","26097","-9"
"12 de abril","26093","-4"
"13 de abril","26091","-2"
"14 de abril","26086","-5"
"15 de abril","26089","3"
"16 de abril","26136","47"
"17 de abril","26165","29"
"18 de abril","26178","13"
"19 de abril","26179","1"
"20 de abril","26186","7"
"21 de abril","26190","4"
"22 de abril","26442","252"
"23 de abril","26572","130"
"24 de abril","26743","171"
"25 de abril","26779","36"
"26 de abril","26828","49"
"27 de abril","26857","29"
"28 de abril","26935","78"
"29 de abril","26996","61"
"30 de abril","27043","47"
"1 de mayo","27107","64"
"2 de mayo","27177","70"
"3 de mayo","27210","33"
"4 de mayo","27237","27"
"5 de mayo","28215","978"
