"Date","Video Views","Profile Views","Likes","Comments","Shares"
"1 de enero","804","3","28","1","3"
"2 de enero","155462","882","4252","96","2621"
"3 de enero","560096","3505","16644","191","9449"
"4 de enero","266486","1971","10210","87","4715"
"5 de enero","248325","1570","8595","99","3665"
"6 de enero","65977","468","2262","41","1215"
"7 de enero","51698","332","1660","29","1014"
"8 de enero","28113","200","885","22","602"
"9 de enero","16295","144","637","9","545"
"10 de enero","9989","100","357","6","373"
"11 de enero","11479","95","420","7","442"
"12 de enero","9884","93","410","11","341"
"13 de enero","4982","58","185","3","181"
"14 de enero","3938","59","146","2","147"
"15 de enero","5660","47","336","5","139"
"16 de enero","3245","37","120","1","85"
"17 de enero","2560","25","93","1","85"
"18 de enero","2821","19","135","1","89"
"19 de enero","2919","31","116","2","97"
"20 de enero","3548","40","194","3","74"
"21 de enero","52781","391","2306","87","877"
"22 de enero","13200","134","762","10","284"
"23 de enero","6067","76","280","5","179"
"24 de enero","3139","43","137","4","96"
"25 de enero","3051","39","116","0","91"
"26 de enero","5123","58","258","4","150"
"27 de enero","4748","45","206","5","113"
"28 de enero","2575","30","96","4","64"
"29 de enero","2264","20","82","1","77"
"30 de enero","2544","33","98","-1","55"
"31 de enero","2933","32","91","3","68"
"1 de febrero","178585","696","3126","180","994"
"2 de febrero","733136","2259","13409","496","4081"
"3 de febrero","142983","1126","2860","67","856"
"4 de febrero","78468","290","1483","37","523"
"5 de febrero","17974","94","463","20","250"
"6 de febrero","11812","86","351","8","182"
"7 de febrero","7136","45","190","5","120"
"8 de febrero","6133","53","187","7","127"
"9 de febrero","5589","46","182","6","113"
"10 de febrero","4983","41","150","4","103"
"11 de febrero","7597","68","176","3","107"
"12 de febrero","37413","216","440","15","164"
"13 de febrero","26234","150","470","13","135"
"14 de febrero","6982","58","174","1","43"
"15 de febrero","5969","36","129","2","51"
"16 de febrero","12578","51","515","14","86"
"17 de febrero","8690","60","194","7","75"
"18 de febrero","7014","47","166","1","79"
"19 de febrero","5927","35","132","3","67"
"20 de febrero","9180","53","278","11","75"
"21 de febrero","5326","32","115","6","49"
"22 de febrero","4293","15","92","6","40"
"23 de febrero","5454","36","119","2","53"
"24 de febrero","5020","31","120","0","67"
"25 de febrero","4368","28","100","3","41"
"26 de febrero","4733","30","129","-1","41"
"27 de febrero","3777","20","78","5","37"
"28 de febrero","3415","27","70","13","34"
"1 de marzo","2715","15","49","7","24"
"2 de marzo","3202","19","66","4","45"
