Date,Impresiones,Me gusta,Interacciones,Guardados,Compartidos,Nuevos seguidores,Dejar de seguir,Respuestas,Reposts,Visitas del perfil,Crear post,Reproducciones de video,Visualizaciones de contenido multimedia
"Wed, Sep 2, 2026",45,0,0,0,0,1,0,0,0,0,0,0,0
"Tue, Sep 1, 2026",76,0,0,0,0,0,0,0,0,0,0,0,0
"Mon, Aug 31, 2026",114,0,0,0,0,2,0,0,0,0,0,0,0
"Sun, Aug 30, 2026",51,0,1,0,0,0,0,0,0,1,0,0,0
"Sat, Aug 29, 2026",85,0,7,0,1,2,0,6,0,0,0,0,0
"Fri, Aug 28, 2026",128,1,1,0,0,0,0,0,0,0,0,0,0
"Thu, Aug 27, 2026",531,1,3,0,0,3,0,0,0,2,0,0,0
"Wed, Aug 26, 2026",602,9,16,0,0,8,1,4,1,2,0,0,0
"Tue, Aug 25, 2026",1267,25,41,1,2,13,3,2,6,5,1,0,0
"Mon, Aug 24, 2026",111,0,0,0,0,1,0,0,0,0,0,0,0
"Sun, Aug 23, 2026",80,0,0,0,0,0,1,0,0,0,0,0,0
"Sat, Aug 22, 2026",447,1,8,0,2,0,1,1,1,3,1,0,0
"Fri, Aug 21, 2026",405,8,15,1,0,3,1,1,4,1,0,0,0
"Thu, Aug 20, 2026",803,3,11,0,1,3,1,1,2,4,1,0,0
"Wed, Aug 19, 2026",447,0,4,0,1,3,0,0,0,3,1,0,0
"Tue, Aug 18, 2026",241,0,0,0,0,1,0,0,0,0,1,0,0
"Mon, Aug 17, 2026",54,0,5,0,0,0,0,5,0,0,0,0,0
"Sun, Aug 16, 2026",121,0,1,0,0,1,0,0,0,1,0,0,0
"Sat, Aug 15, 2026",301,1,2,0,0,1,0,1,0,0,1,0,0
"Fri, Aug 14, 2026",274,0,4,0,0,0,0,3,0,1,0,0,0
"Thu, Aug 13, 2026",734,7,13,1,0,24,0,0,3,2,1,0,0
"Wed, Aug 12, 2026",675,1,4,0,0,1,0,0,0,3,2,0,0
"Tue, Aug 11, 2026",454,1,11,0,1,1,0,7,0,2,1,0,0
"Mon, Aug 10, 2026",395,3,5,0,0,1,1,0,0,2,1,0,0
"Sun, Aug 9, 2026",2832,241,370,1,0,111,3,5,53,70,0,0,0
"Sat, Aug 8, 2026",1320,64,117,0,2,46,2,0,15,36,1,0,0
"Fri, Aug 7, 2026",234,1,7,0,0,0,2,5,0,1,0,0,0
"Thu, Aug 6, 2026",331,2,2,0,0,1,0,0,0,0,2,0,0
"Wed, Aug 5, 2026",478,0,3,0,0,3,0,3,0,0,0,0,0
"Tue, Aug 4, 2026",632,0,2,0,0,5,1,1,0,1,1,0,0
"Mon, Aug 3, 2026",728,0,1,0,0,0,0,0,0,1,1,0,0
"Sun, Aug 2, 2026",326,0,0,0,0,1,0,0,0,0,0,0,0
"Sat, Aug 1, 2026",431,2,16,1,0,1,1,10,2,1,1,0,0
